locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN3520	putative 3-phosphoshikimate 1-carboxyvinyltransferase		Amino acid biosynthesis	Aromatic amino acid family	down			
MXAN3522	chorismate synthase	aroC	Amino acid biosynthesis	Aromatic amino acid family	down			
MXAN6061	phospho-2-dehydro-3-deoxyheptonate aldolase	aroF	Amino acid biosynthesis	Aromatic amino acid family	down			
MXAN6065	tryptophan synthase subunit beta	trpB	Amino acid biosynthesis	Aromatic amino acid family	down			
MXAN6066	"tryptophan synthase, alpha subunit"	trpA	Amino acid biosynthesis	Aromatic amino acid family	down			
MXAN1400	putative 3-dehydroquinate dehydratase		Amino acid biosynthesis	Aromatic amino acid family	NI			
MXAN3219	putative phospho-2-dehydro-3-deoxyheptonate aldolase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3220	prephenate dehydratase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3221	chorismate mutase/prephenate dehydratase	pheA	Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3521	putative 3-dehydroquinate synthase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3523	putative shikimate 5-dehydrogenase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3524	putative shikimate kinase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3526	phospho-2-dehydro-3-deoxyheptonate aldolase	aroF	Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN3642	3-deoxy-7-phosphoheptulonate synthase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN5840	prephenate dehydrogenase/chorismate mutase		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN6062	anthranilate phosphoribosyltransferase	trpD	Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN6063	indole-3-glycerol phosphate synthase	trpC	Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN6064	N-(5'phosphoribosyl)anthranilate isomerase	trpF	Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN6071	"putative anthranilate synthase, glutamine amidotransferase component"		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN6072	"putative anthranilate synthase, component I"		Amino acid biosynthesis	Aromatic amino acid family	not reg			
MXAN0301	putative asparagine synthetase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN0831	saccharopine dehydrogenase	lys1	Amino acid biosynthesis	Aspartate family	not reg			
MXAN0969	Cys/Met metabolism PLP-dependent enzyme		Amino acid biosynthesis	Aspartate family	not reg			
MXAN0970	Cys/Met metabolism PLP-dependent enzyme		Amino acid biosynthesis	Aspartate family	not reg			
MXAN0971	aspartate kinase/homoserine dehydrogenase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN1955	Cys/Met metabolism PLP-dependent enzyme		Amino acid biosynthesis	Aspartate family	not reg			
MXAN1971	5-methyltetrahydrofolate--homocysteine methyltransferase	metH	Amino acid biosynthesis	Aspartate family	not reg			
MXAN2524	putative homoserine kinase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN3039	"5,10-methylenetetrahydrofolate reductase"	metF	Amino acid biosynthesis	Aspartate family	not reg			
MXAN3050	aspartate-semialdehyde dehydrogenase	asd	Amino acid biosynthesis	Aspartate family	not reg			
MXAN3386	putative aspartate aminotransferase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN3409	threonine synthase	thrC	Amino acid biosynthesis	Aspartate family	not reg			
